filename;flair_dice;flair_sens;flair_prec;t1c_dice;t1c_sens;t1c_prec;t2_dice;t2_sens;t2_prec;fus2_dice;fus2_sens;fus2_prec;fus3_dice;fus3_sens;fus3_prec
BRATS_001.nii.gz;0.870;0.800;0.953;0.001;0.000;1.000;0.705;0.544;1.000;0.955;0.947;0.964;0.909;0.836;0.996
BRATS_002.nii.gz;0.875;0.807;0.956;0.001;0.001;1.000;0.802;0.670;0.998;0.871;0.835;0.910;0.861;0.770;0.977
BRATS_003.nii.gz;0.879;0.831;0.933;0.297;0.174;1.000;0.665;0.626;0.709;0.888;0.831;0.954;0.863;0.785;0.959
BRATS_004.nii.gz;0.924;0.858;1.000;0.038;0.020;1.000;0.929;0.868;1.000;0.909;0.837;0.995;0.926;0.862;1.000
BRATS_005.nii.gz;0.325;0.570;0.228;0.001;0.001;1.000;0.695;0.545;0.961;0.150;0.571;0.086;0.661;0.495;0.995
BRATS_006.nii.gz;0.809;0.681;0.996;0.000;0.000;1.000;0.594;0.422;1.000;0.387;0.241;0.990;0.895;0.809;1.000
BRATS_007.nii.gz;0.921;0.898;0.946;0.001;0.000;1.000;0.326;0.198;0.920;0.895;0.883;0.908;0.909;0.846;0.983
BRATS_008.nii.gz;0.946;0.915;0.978;0.045;0.023;1.000;0.694;0.532;0.997;0.921;0.885;0.961;0.923;0.872;0.981
BRATS_009.nii.gz;0.741;0.589;1.000;0.000;0.000;1.000;0.560;0.484;0.666;0.885;0.794;1.000;0.866;0.764;1.000
BRATS_010.nii.gz;0.605;1.000;0.434;0.002;0.001;1.000;0.002;0.001;1.000;0.394;1.000;0.245;0.781;0.999;0.641
BRATS_011.nii.gz;0.908;0.840;0.987;0.589;0.452;0.847;0.754;0.606;1.000;0.886;0.814;0.972;0.888;0.801;0.997
BRATS_012.nii.gz;0.752;0.970;0.614;0.002;0.001;1.000;0.786;0.706;0.885;0.193;0.930;0.108;0.906;0.939;0.876
BRATS_013.nii.gz;0.268;0.998;0.155;0.330;0.795;0.209;0.818;0.691;1.000;0.231;1.000;0.131;0.943;0.907;0.982
BRATS_014.nii.gz;0.910;0.848;0.983;0.001;0.000;1.000;0.720;0.563;1.000;0.855;0.803;0.914;0.887;0.803;0.991
BRATS_015.nii.gz;0.926;0.885;0.971;0.000;0.000;1.000;0.878;0.811;0.957;0.899;0.825;0.988;0.911;0.841;0.994
BRATS_016.nii.gz;0.708;0.989;0.551;0.001;0.000;1.000;0.739;0.586;1.000;0.657;0.992;0.491;0.848;0.969;0.754
BRATS_017.nii.gz;0.605;0.844;0.472;0.001;0.000;1.000;0.807;0.683;0.985;0.658;0.925;0.510;0.788;0.920;0.688
BRATS_018.nii.gz;0.154;0.083;0.985;0.001;0.000;1.000;0.249;0.142;1.000;0.107;0.056;0.989;0.145;0.078;1.000
BRATS_019.nii.gz;0.760;0.748;0.773;0.051;0.044;0.059;0.057;0.030;0.604;0.505;0.558;0.460;0.800;0.779;0.822
BRATS_020.nii.gz;0.799;0.765;0.837;0.000;0.000;1.000;0.733;0.582;0.989;0.809;0.789;0.829;0.831;0.792;0.874
BRATS_021.nii.gz;0.702;0.560;0.941;0.521;0.358;0.959;0.836;0.839;0.833;0.711;0.571;0.942;0.881;0.817;0.957
BRATS_022.nii.gz;0.926;0.884;0.972;0.000;0.000;1.000;0.759;0.612;1.000;0.941;0.922;0.961;0.910;0.853;0.976
BRATS_023.nii.gz;0.859;0.970;0.771;0.001;0.001;1.000;0.743;0.832;0.672;0.367;0.971;0.226;0.921;0.926;0.916
BRATS_024.nii.gz;0.767;0.974;0.633;0.102;0.198;0.069;0.837;0.719;1.000;0.344;0.903;0.212;0.864;0.889;0.841
BRATS_025.nii.gz;0.899;0.878;0.920;0.002;0.001;1.000;0.773;0.630;1.000;0.617;0.813;0.498;0.909;0.838;0.994
BRATS_026.nii.gz;0.933;0.933;0.934;0.001;0.001;1.000;0.868;0.767;1.000;0.430;0.998;0.274;0.929;0.885;0.978
BRATS_027.nii.gz;0.956;0.919;0.997;0.001;0.001;1.000;0.757;0.611;0.995;0.966;0.942;0.991;0.939;0.886;0.998
BRATS_028.nii.gz;0.745;0.830;0.676;0.095;0.050;0.947;0.709;0.611;0.845;0.693;0.806;0.607;0.759;0.815;0.711
BRATS_029.nii.gz;0.516;0.872;0.366;0.002;0.001;1.000;0.837;0.720;1.000;0.257;0.827;0.152;0.481;0.861;0.334
BRATS_030.nii.gz;0.919;0.962;0.879;0.002;0.001;1.000;0.867;0.839;0.897;0.811;0.770;0.856;0.913;0.983;0.852
BRATS_031.nii.gz;0.888;0.931;0.848;0.181;0.689;0.104;0.329;0.197;1.000;0.564;0.982;0.396;0.874;0.888;0.860
BRATS_032.nii.gz;0.704;0.544;0.999;0.577;0.440;0.838;0.604;0.436;0.984;0.766;0.622;0.998;0.604;0.432;1.000
BRATS_033.nii.gz;0.951;0.923;0.981;0.672;0.518;0.955;0.656;0.556;0.799;0.939;0.940;0.937;0.924;0.860;0.998
BRATS_034.nii.gz;0.726;0.570;1.000;0.000;0.000;1.000;0.747;0.696;0.807;0.705;0.546;0.997;0.823;0.700;1.000
BRATS_035.nii.gz;0.957;0.977;0.937;0.617;0.605;0.629;0.461;0.303;0.957;0.942;0.964;0.921;0.952;0.929;0.977
BRATS_036.nii.gz;0.949;0.922;0.977;0.001;0.000;1.000;0.810;0.681;0.999;0.398;0.248;0.999;0.920;0.855;0.996
BRATS_037.nii.gz;0.912;0.983;0.851;0.463;0.404;0.540;0.001;0.000;1.000;0.878;0.935;0.827;0.937;0.940;0.935
BRATS_038.nii.gz;0.873;0.779;0.993;0.364;0.222;1.000;0.273;0.158;1.000;0.850;0.741;0.996;0.842;0.731;0.994
BRATS_039.nii.gz;0.397;0.248;1.000;0.654;0.515;0.896;0.432;0.275;1.000;0.421;0.266;1.000;0.402;0.252;1.000
BRATS_040.nii.gz;0.791;0.655;1.000;0.111;0.059;1.000;0.786;0.651;0.991;0.860;0.755;0.998;0.828;0.709;0.997
BRATS_041.nii.gz;0.465;0.303;1.000;0.001;0.000;1.000;0.641;0.529;0.813;0.517;0.349;0.998;0.770;0.626;1.000
BRATS_042.nii.gz;0.830;0.710;1.000;0.002;0.001;1.000;0.782;0.678;0.922;0.592;0.639;0.551;0.799;0.666;1.000
BRATS_043.nii.gz;0.817;0.983;0.699;0.650;0.481;1.000;0.484;0.320;1.000;0.808;0.926;0.717;0.873;0.775;1.000
BRATS_044.nii.gz;0.942;0.930;0.955;0.002;0.001;1.000;0.446;0.287;1.000;0.894;0.978;0.823;0.940;0.920;0.961
BRATS_045.nii.gz;0.880;0.787;0.998;0.001;0.000;1.000;0.870;0.770;0.999;0.918;0.849;0.998;0.891;0.805;0.998
BRATS_046.nii.gz;0.898;0.815;0.999;0.001;0.000;1.000;0.820;0.749;0.906;0.889;0.800;0.999;0.881;0.788;0.999
BRATS_047.nii.gz;0.898;0.850;0.952;0.001;0.000;1.000;0.296;0.174;0.976;0.875;0.809;0.951;0.863;0.788;0.954
BRATS_048.nii.gz;0.850;0.739;1.000;0.450;0.290;0.999;0.646;0.656;0.636;0.845;0.731;1.000;0.837;0.720;0.999
BRATS_049.nii.gz;0.858;0.758;0.988;0.001;0.000;1.000;0.783;0.674;0.933;0.925;0.865;0.994;0.910;0.836;0.998
BRATS_050.nii.gz;0.715;0.556;1.000;0.721;0.567;0.990;0.719;0.561;1.000;0.809;0.683;0.993;0.731;0.576;1.000
BRATS_051.nii.gz;0.828;0.706;1.000;0.001;0.000;1.000;0.564;0.393;1.000;0.839;0.723;1.000;0.509;0.342;1.000
